"amazon_covid_titles"t	"amazon_covid_starrating"t	"amazon_covid_jobtitles"t	"amazon_covid_location"t	"amazon_covid_reviewdate"t	"amazon_covid_CONS"t	"amazon_covid_PROS"t	"STATE"t	"MONTH"
"268"t	"\"It’s got good benefits\""t	"4.0"t	"Current Employee - Principal Product Manager"t	"Chicago, IL"t	"November 26, 2020"t	"Long hours. Monotonous work. 10 hour work days for 4 days (11 hour work days for 5 days during peak season)."t	"- Compensation and Work is good
- Lots to learn and room to grow
- Fundamentals of LPs are good
- SA Job Role is really good if you want to experiment different technologies without getting in the crux of implementation
- Good Peers and Managers"t	"IL"t	"Nov"
"269"t	"\"Solutions Architect - Work across different technologies\""t	"4.0"t	"Current Employee - Amazon Associate"t	"Seattle, WA"t	"November 27, 2020"t	"Long hours. And work is mundane"t	"Great pay, Can work from home, innovative,"t	"WA"t	"Nov"
"270"t	"\"Great experience\""t	"4.0"t	"Current Employee - Amazon Warehouse Worker"t	"Dedham, MA"t	"November 27, 2020"t	"- Lots of commitment required, Amazon would give as much as you can take
- Some LPs need some alteration for modern times"t	"I have a job so I am grateful."t	"MA"t	"Nov"
"271"t	"\"Great experience\""t	"3.0"t	"Current Employee - Administrative Assistant"t	"Los Angeles, CA"t	"November 27, 2020"t	"physically demanding, long hours, average pay"t	"Growth and plenty of work opportunities."t	"CA"t	"Nov"
"272"t	"\"Ok.\""t	"3.0"t	"Current Employee - Seasonal Warehouse Associate"t	"Dallas, TX"t	"December 11, 2020"t	"work is tough on your body"t	"Good pay and benefits. Good choice if wanting to earn some work experience."t	"TX"t	"Dec"
"273"t	"\"warehouse associate\""t	"3.0"t	"Current Employee - Manager"t	"Edison, NJ"t	"December 11, 2020"t	"The warehouse is not climate controlled."t	"Good pay every week and good benefits"t	"NJ"t	"Dec"
"274"t	"\"You actually have to work\""t	"5.0"t	"Current Employee - Warehouse Picker"t	"Chicago, IL"t	"December 11, 2020"t	"Not a position suited for everyone. Lots of standing and repetitive motion."t	"- Compensation and Work is good
- Lots to learn and room to grow
- Fundamentals of LPs are good
- SA Job Role is really good if you want to experiment different technologies without getting in the crux of implementation
- Good Peers and Managers"t	"IL"t	"Dec"
"275"t	"\"Exceptional company, great pay\""t	"5.0"t	"Current Employee - Area Manager"t	"Seattle, WA"t	"November 25, 2020"t	"There are no cons for me"t	"Great pay, Can work from home, innovative,"t	"WA"t	"Nov"
"276"t	"\"Great place\""t	"5.0"t	"Current Employee - Astronaut"t	"Dedham, MA"t	"November 26, 2020"t	"Not fun, Fun, cool, sick, sweet, lol"t	"I have a job so I am grateful."t	"MA"t	"Nov"
"277"t	"\"Great\""t	"2.0"t	"Current Employee - Engineering Manager"t	"Greenwood, IN"t	"November 26, 2020"t	"Stressful life
Stale culture
Too large to move quickly"t	"good pay, nice environment, clean"t	"IN"t	"Nov"
"278"t	"\"Evaluate brand value Vs the stressful life\""t	"2.0"t	"Current Employee - Part Time Package Handler"t	"Louisville, KY"t	"December 10, 2020"t	"Peak sucks. Christmas time is the worst"t	"You get great benefits and time off."t	"KY"t	"Dec"
"279"t	"\"Ok\""t	"4.0"t	"Current Employee - Interim Ops Administrative"t	"Etna, OH"t	"December 11, 2020"t	"*Not enough development opportunities
*High stress"t	"Pays very well for the type of work involved. Friendly environment and lots of opportunities."t	"OH"t	"Dec"
"280"t	"\"Fast paced environment\""t	"4.0"t	"Current Employee - Amazon (Fulfillement Center) Associate"t	"Dallas, TX"t	"November 25, 2020"t	"You have to hit your rate or management could fire you"t	"Work with you every step of the way in every aspect"t	"TX"t	"Nov"
"281"t	"\"Great start to career\""t	"4.0"t	"Current Employee - Delivery Driver"t	"Austin, TX"t	"November 26, 2020"t	"You have to hit your rate or management could fire you"t	"The atmosphere is overall pretty good."t	"TX"t	"Nov"
"282"t	"\"Hit or miss\""t	"3.0"t	"Current Employee - Fulfillment Associate (Overnight)"t	"Fontana, CA"t	"December 10, 2020"t	"Long hours, management not on the same page. Cut corners as far as safety is concerned."t	"Coworkers
Incentives
Ability to learn and move up"t	"CA"t	"Dec"
"283"t	"\"Cool place to work\""t	"3.0"t	"Current Employee - Warehouse Associate"t	"San Marcos, TX"t	"December 11, 2020"t	"Disorganized
A lot of other stuff"t	"Can take time off as needed"t	"TX"t	"Dec"
"284"t	"\"Amazon\""t	"3.0"t	"Current Employee - Project Manager"t	"California, MD"t	"November 25, 2020"t	"Unforgiving with hours, regardless of issue"t	"time management is a problem for most"t	"MD"t	"Nov"
"285"t	"\"great\""t	"5.0"t	"Current Employee - Software Engineer -2"t	"Seattle, WA"t	"November 26, 2020"t	"not enough attention to detail"t	"Very Good Company. Love the leadership Principles"t	"WA"t	"Nov"
"286"t	"\"Good\""t	"5.0"t	"Current Employee - Warehouse Associate"t	"Beaumont, CA"t	"December 10, 2020"t	"Hate the politics in the company"t	"You can make a lot of money at this job."t	"CA"t	"Dec"
"287"t	"\"Great place for long and short term options.\""t	"5.0"t	"Current Employee - Software Engineer"t	"Seattle, WA"t	"December 10, 2020"t	"Having to walk up four floors can suck sometimes."t	"you get to work with smart people. There is lots to learn here"t	"WA"t	"Dec"
"288"t	"\"Good place to work on cutting edge technology\""t	"5.0"t	"Current Employee - Director"t	"New York, NY"t	"December 10, 2020"t	"Work life balance is a mess"t	"Great company to work for"t	"NY"t	"Dec"
"289"t	"\"Great company to work for\""t	"5.0"t	"Current Employee - Security Video Analyst"t	"Tempe, AZ"t	"November 24, 2020"t	"No work life balance in the company"t	"OT opportunities and great benefits"t	"AZ"t	"Nov"
"290"t	"\"Excellent job, with a great purpose.\""t	"5.0"t	"Current Employee - Fulfillment Associate"t	"Camarillo, CA"t	"November 24, 2020"t	"A lot of screen time"t	"There are some good benefits at Amazon"t	"CA"t	"Nov"
"291"t	"\"Good benefits\""t	"2.0"t	"Current Employee - Fulfillment Associate"t	"Seattle, WA"t	"December 10, 2020"t	"Having to walk up four floors can suck sometimes."t	"There are some good benefits at Amazon"t	"WA"t	"Dec"
"292"t	"\"Good remote learning experience for interns\""t	"5.0"t	"Current Employee - Software Engineer(Internship)"t	"Ruskin, FL"t	"November 20, 2020"t	"Work life balance is a mess"t	"Projects are interesting and high impact
Good compensation"t	"FL"t	"Nov"
"293"t	"\"Great Pay and Benefits\""t	"4.0"t	"Current Employee - Fulfillment Associate"t	"Seattle, WA"t	"November 24, 2020"t	"No work life balance in the company"t	"Amazon gives a great pay and benefit package to full time employees."t	"WA"t	"Nov"
"294"t	"\"Good Company\""t	"4.0"t	"Current Employee - Data Engineer"t	"Schodack Landing, NY"t	"November 24, 2020"t	"A lot of screen time"t	"Excellent Pay and competitive environment"t	"NY"t	"Nov"
"295"t	"\"Pretty decent job.  One of the easiest\""t	"4.0"t	"Current Employee - FC Picker"t	"Seattle, WA"t	"November 24, 2020"t	"The work is stressful lots of doing the same things over and over again"t	"Drive around in a Pit all day, minimal walking. Ask to learn new tasks and become friends with management. Job security. 3 day weekends."t	"WA"t	"Nov"
"296"t	"\"Company too large with many mini-cultures\""t	"4.0"t	"Current Employee - Systems Development Manager"t	"Cleveland, OH"t	"November 25, 2020"t	"Experience can be very team dependent. Some teams overwork you or don't give you much to do"t	"Fast-paced tech company, lots of smart people to learn from"t	"OH"t	"Nov"
"297"t	"\"Okay..\""t	"4.0"t	"Current Employee - Fulfillment Associate"t	"Fontana, CA"t	"November 25, 2020"t	"Work can be boring, and hours are long. 
I wouldn't recommend if you aren't able to be by yourself for long periods of time."t	"-Great benefits
-Endless overtime opportunities
-Good pay"t	"CA"t	"Nov"
"298"t	"\"A fine place\""t	"4.0"t	"Current Employee - Warehouse Associate"t	"Stockton, CA"t	"November 25, 2020"t	"Grueling work culture, not for everyone"t	"If you work hard you eventually don’t work as hard"t	"CA"t	"Nov"
"299"t	"\"Ok\""t	"4.0"t	"Current Employee - Amazon Associate (Warehouse)"t	"Nashville, TN"t	"November 25, 2020"t	"the tasks can get boring and repetitive, which is why I hide my AirPods under my mask"t	"Good pay and benefits and flexible schedule"t	"TN"t	"Nov"
"300"t	"\"Amazon great place to work\""t	"4.0"t	"Current Employee - Customer Service Representative"t	"Portland, OR"t	"November 25, 2020"t	"Cut-throat competition, politics, sluggish and incompetent HR org that is so out of sync with employee needs"t	"Easy scheduling and good pay."t	"OR"t	"Nov"
"301"t	"\"Okay\""t	"3.0"t	"Current Employee - Delivery Driver"t	"Tampa, FL"t	"December 8, 2020"t	"night shifts
minimum time off
unable to change shifts"t	"Good pay
Decent hours 
Decent breaks"t	"FL"t	"Dec"
"302"t	"\"Sortation Associate 1\""t	"3.0"t	"Current Employee - Sorter"t	"Chandler, AZ"t	"December 9, 2020"t	"Long hours management favoritism physical"t	"Pay time off flexible easy"t	"AZ"t	"Dec"
"303"t	"\"Long hours, high turnover, decent pay\""t	"3.0"t	"Current Employee - Retail and Sales"t	"Jacksonville, FL"t	"December 9, 2020"t	"Long hours, no sitting down.
No organized training regimen for any department at any site (I’ve worked in several)."t	"Good pay, benefits, and stock options"t	"FL"t	"Dec"
"304"t	"\"Great Place\""t	"3.0"t	"Current Employee - Sortation Associate"t	"Seattle, WA"t	"December 9, 2020"t	"Large corporate structure so sometimes ideas get lost."t	"Love them!! Very helpful and kind."t	"WA"t	"Dec"
"305"t	"\"Amazon\""t	"5.0"t	"Current Employee - Manager, Operations II"t	"DuPont, WA"t	"December 9, 2020"t	"The long hours and the short break periods"t	"The pay and benefits with the flexibility of your schedule"t	"WA"t	"Dec"
"306"t	"\"Review\""t	"5.0"t	"Current Employee - Software Engineer"t	"Seattle, WA"t	"November 24, 2020"t	"Sometimes not great. But great too."t	"Great and very inclusive. It’s great!"t	"WA"t	"Nov"
"307"t	"\"-\""t	"5.0"t	"Current Employee - Inbound Stower"t	"Plainfield, IN"t	"November 24, 2020"t	"Not everyone can handle the hours."t	"Opportunity to move up based on performance."t	"IN"t	"Nov"
"308"t	"\"Steady job where you can get started quickly\""t	"4.0"t	"Current Employee - Engineer"t	"Louisville, KY"t	"November 24, 2020"t	"- Virtually no raises outside of promotion
- Work most holidays"t	"- Great starting pay 
- Steady hours
- Overtime opportunities"t	"KY"t	"Nov"
"309"t	"\"good pay for an unskilled job\""t	"4.0"t	"Current Employee - Area Manager"t	"San Antonio, TX"t	"November 24, 2020"t	"long, tiring hours on your feet"t	"excellent benefits at amazon warehouse"t	"TX"t	"Nov"
"310"t	"\"Engaging\""t	"4.0"t	"Current Employee - Warehouse Associate"t	"Seattle, WA"t	"November 24, 2020"t	"Balance speed of decision making with information gathering"t	"Constant challenge, Fast paced, Innovative"t	"WA"t	"Nov"
"311"t	"\"good pay for an unskilled job\""t	"4.0"t	"Current Employee - International Tax Director"t	"San Antonio, TX"t	"November 24, 2020"t	"long, tiring hours on your feet"t	"Constant challenge, Fast paced, Innovative"t	"TX"t	"Nov"
"312"t	"\"Engaging\""t	"3.0"t	"Current Employee - Fulliment Associate"t	"Seattle, WA"t	"December 8, 2020"t	"Balance speed of decision making with information gathering"t	"Day 1 benefits, 15+ an hour, lots of accommodations and professionalism. It's a great job with great opportunities and as you could imagine, Amazon is very well established. So, they have everything you need. HR is also always available if you need them for anything. There are a lot of great people and you can learn so much. Other than safety and security, Amazon isn't too strict with much."t	"WA"t	"Dec"
"313"t	"\"It's a great place to work, as long as you are happy with what you're doing.\""t	"3.0"t	"Current Employee - Fulfillment Associate"t	"Slingerlands, NY"t	"December 8, 2020"t	"Extremely hard work, depending on your role/department. I was in Ship Dock and was loading 2-3k boxes a day (about 50k lbs a day) onto trucks while scanning, lifting boxes, loading and pushing carts, and not only was I only making 15 an hour, but my bosses didn't care one bit about the extra effort I put in. In fact, they knew how hard I worked and made me do it all day, every day, and gave the people who were lazy better roles like Training Ambassador. It really felt like I was killing myself each day at work without recognition. The boss made some disrespectful comments to me and I even got hit in the head with a heavy box because he broke a safety rule while loading a truck. For what I was doing, the kind of work and the level of effort I was putting it, I should have been getting paid at least 18 an hour, if not 20. So, I decided that I needed a change from that department. That was just my experience there. Many agree that it's not the best working environment in that department and that many roles are unfair, but it is what it is and there's nothing you can do but speak up and do what you have to do for yourself. Mostly, everyone else that I've met at Amazon is great. I love working there. I am currently transferring departments and my new role and new manager are both awesome!"t	"Good pay l, benefits, and management treats you good."t	"NY"t	"Dec"
"314"t	"\"Not flexible with hours as they advertise\""t	"3.0"t	"Current Employee - Fulfillment Associate"t	"Akron, OH"t	"December 8, 2020"t	"Not flexible with school hours during peak season even though they advertise being flexible"t	"Good benefits and pay rate"t	"OH"t	"Dec"
"315"t	"\"Fair\""t	"5.0"t	"Current Employee - Information Technology Associate"t	"Charlotte, NC"t	"November 22, 2020"t	"Hard labor and repetitive motions"t	"Experience learning at a large scale"t	"NC"t	"Nov"
"316"t	"\"Amazon\""t	"5.0"t	"Current Employee - Software Development Engineer"t	"Phoenix, AZ"t	"November 22, 2020"t	"Work was very easy and at time not challenging"t	"Working with really smart people on some exciting projects"t	"AZ"t	"Nov"
"317"t	"\"West coast pay in Michigan while working on exciting projects\""t	"5.0"t	"Current Employee - Process Assistant"t	"Detroit, MI"t	"November 22, 2020"t	"Very fast pace, probably not for everyone"t	"Excellent benefits and room for growth"t	"MI"t	"Nov"
"318"t	"\"Awesome company to work with\""t	"5.0"t	"Current Employee - Software Development Engineer (SDE) II"t	"New York, NY"t	"November 23, 2020"t	"Training could be a lot more structured"t	"Great place to work. Great coworkers."t	"NY"t	"Nov"
"319"t	"\"Love Amazon!\""t	"5.0"t	"Current Employee - Amazon Warehouse Worker"t	"Seattle, WA"t	"November 23, 2020"t	"oncall is not easy and sometimes is not fun."t	"So much to learn and expand your knowledge."t	"WA"t	"Nov"
"320"t	"\"It's what you make of it\""t	"5.0"t	"Current Employee - Package Handler"t	"Kenosha, WI"t	"November 23, 2020"t	"Be careful with your time."t	"The team work and people working at Amazon are very good"t	"WI"t	"Nov"
"321"t	"\"West coast pay in Michigan while working on exciting projects\""t	"5.0"t	"Current Employee - Process Innovation and Design Engineering"t	"Detroit, MI"t	"November 23, 2020"t	"Very fast pace, probably not for everyone"t	"great with saftey and is organized"t	"MI"t	"Nov"
"322"t	"\"Awesome company to work with\""t	"5.0"t	"Current Employee - USPS Mail Carrier"t	"New York, NY"t	"November 23, 2020"t	"Training could be a lot more structured"t	"Amazing company to work for"t	"NY"t	"Nov"
"323"t	"\"Love Amazon!\""t	"5.0"t	"Current Employee - Picker"t	"Seattle, WA"t	"November 23, 2020"t	"oncall is not easy and sometimes is not fun."t	"Management, Friendly Co-workers, UPT, PTO, Benefits on day 1 (for FT), 2 hhr breaks, Good pay"t	"WA"t	"Nov"
"324"t	"\"It's what you make of it\""t	"5.0"t	"Current Employee - Forklift Operator"t	"Kenosha, WI"t	"November 23, 2020"t	"Be careful with your time."t	"It was Good money for the time being"t	"WI"t	"Nov"
"325"t	"\"Easy hire and Good pay\""t	"5.0"t	"Current Employee - Anonymous Employee"t	"Carteret, NJ"t	"November 23, 2020"t	"The job is very straneous"t	"It’s A Good Steady Job , and it keeps you busy ."t	"NJ"t	"Nov"
"326"t	"\"?\""t	"5.0"t	"Current Employee - Forklift Operator"t	"Seattle, WA"t	"December 8, 2020"t	"Wasted work in the pursuit of innovation can be frustrating at times"t	"Good pay, especially during the holidays"t	"WA"t	"Dec"
"327"t	"\"great cpmpany\""t	"5.0"t	"Current Employee - Picker"t	"Los Angeles, CA"t	"December 8, 2020"t	"pay rate is low and can be better"t	"4 day workweek is the only pro"t	"CA"t	"Dec"
"328"t	"\"Awesome\""t	"5.0"t	"Current Employee - Associate"t	"Bluefield, WV"t	"November 19, 2020"t	"N/a no cons I love the job"t	"The pay the benefits and you can move up pretty quick. They also pay you to travel and train if your a good worker"t	"WV"t	"Nov"
"329"t	"\"The training is great and informative but...\""t	"5.0"t	"Current Employee - Amazon Warehouse Worker"t	"Lockbourne, OH"t	"November 22, 2020"t	"Hard work & Long Hours on your feet :("t	"Medical, prescription drug, dental and vision coverage.
401(k) savings plan.
Paid time-off and Holiday overtime pay.
Resources to help improve your overall well-being.
Discounts on Amazon purchases."t	"OH"t	"Nov"
"330"t	"\"It’s ok\""t	"5.0"t	"Current Employee - Public Safety Manager"t	"Cleveland, OH"t	"November 23, 2020"t	"Long shifts but got used to it"t	"There was always work to do."t	"OH"t	"Nov"
"331"t	"\"Great place to work!\""t	"4.0"t	"Current Employee - Software Engineer"t	"Troutdale, OR"t	"November 23, 2020"t	"There’s not enough pay for drivers ."t	"There was always work to do."t	"OR"t	"Nov"
"332"t	"\"Good Company\""t	"4.0"t	"Current Employee - Software Development Engineer In Test (SDET)"t	"Seattle, WA"t	"December 8, 2020"t	"You are just a number. Go in do your job and get out. A bunch of 20 year olds with no experience in charge"t	"awesome! best place i have ever worked"t	"WA"t	"Dec"
"333"t	"\"Great People, Not HR\""t	"4.0"t	"Current Employee - Inbound Stow"t	"Seattle, WA"t	"November 19, 2020"t	"You have to figure every out on your own. Reading the handbook and explore the A to Z app will teach you a lot"t	"tech area growth opportunity has a lot"t	"WA"t	"Nov"
"334"t	"\"experience\""t	"4.0"t	"Current Employee - Associate"t	"Rialto, CA"t	"November 22, 2020"t	"lots of turnover
if you cant maintain the rate you'll be put on probation
company's demands can cause employees to drop everything last minute
Work hours can be excruciating with little to no work-life balance"t	"They have a very flexible schedule for me as a student."t	"CA"t	"Nov"
"335"t	"\"Hard Worker, Just not my line of work\""t	"3.0"t	"Current Employee - Warehouse Associate"t	"Opa-locka, FL"t	"November 23, 2020"t	"You can only work up to 60 hours in a week."t	"amazon has very good benefits"t	"FL"t	"Nov"
"336"t	"\"Great pay, nothing else\""t	"3.0"t	"Current Employee - Associate"t	"Tampa, FL"t	"November 23, 2020"t	"nothing that is actually worth mentinoing"t	"-Lovely Team to work with 
-Good benefits"t	"FL"t	"Nov"
"337"t	"\"Not Friendly\""t	"3.0"t	"Current Employee - Sortation Associate"t	"Troutdale, OR"t	"November 23, 2020"t	"performance review process often get concerns"t	"The pay is excellent for the job."t	"OR"t	"Nov"
"338"t	"\"Eh\""t	"3.0"t	"Current Employee - Delivery Associate"t	"Rochester, NY"t	"December 6, 2020"t	"The HR team is not that reliable and not that helpful. They tend to make mistakes regarding schedules and school accommodation and more."t	"The pay rate is fair"t	"NY"t	"Dec"
"339"t	"\"Overall good company\""t	"3.0"t	"Current Employee - Fulfillment Associate"t	"Des Moines, IA"t	"December 7, 2020"t	"amazon need to invest in better fans"t	"Work 30 hours get paid for 40"t	"IA"t	"Dec"
"340"t	"\"Fast Paced Company, Lots of opportunity\""t	"3.0"t	"Current Employee - CSA - Customer Service Associate"t	"New York, NY"t	"December 7, 2020"t	"-Long Hours 
-Treats Employees like a number
-Makes you work with an injury 
-No organization 
-Cluttered too many employees not enough space"t	"Lots of benefits and room for growth"t	"NY"t	"Dec"
